8.5265 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000232C8594F10>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000232C8594EB0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000232C8594BB0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000232CEC74490>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.5266 	EXP 	window1: mouseVisible = True
8.5266 	EXP 	window1: backgroundImage = ''
8.5267 	EXP 	window1: backgroundFit = 'none'
8.5267 	EXP 	window1: mouseVisible = False
8.5267 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.5268 	EXP 	window1: recordFrameIntervals = False
8.5540 	EXP 	window1: recordFrameIntervals = True
8.5847 	EXP 	Screen (0) actual frame rate measured at 358.43Hz
8.5848 	EXP 	window1: recordFrameIntervals = False
9.9951 	EXP 	Created GetReady_Text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='GetReady_Text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
